"lambda, nm",intensivity (0 deg),intensivity (5 deg),intensivity (10 deg),intensivity (15 deg),intensivity (20 deg),intensivity (25 deg),intensivity (30 deg),intensivity (35 deg),intensivity (40 deg),intensivity (45 deg),intensivity (50 deg),intensivity (55 deg),intensivity (60 deg),intensivity (65 deg),intensivity (70 deg),intensivity (75 deg),intensivity (80 deg),intensivity (85 deg)
1087.190,100.0,42.857,100.0,39.286,42.857,32.143,96.429,53.571,0.0,28.571,57.143,64.286,82.143,57.143,0.0,60.714,50.0,0.0
1087.430,100.0,96.429,85.714,96.429,53.571,67.857,57.143,67.857,14.286,60.714,67.857,17.857,89.286,35.714,0.0,28.571,57.143,0.0
1087.670,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,43.75,100.0,100.0,68.75,87.5,75.0,100.0,100.0
1087.910,100.0,100.0,100.0,60.0,20.0,100.0,80.0,100.0,40.0,100.0,33.333,6.667,100.0,6.667,0.0,0.0,26.667,0.0
1088.151,100.0,100.0,100.0,100.0,0.0,100.0,93.333,100.0,100.0,100.0,100.0,100.0,100.0,46.667,100.0,26.667,100.0,0.0
1088.391,100.0,100.0,100.0,57.692,26.923,88.462,96.154,100.0,100.0,100.0,53.846,73.077,42.308,57.692,100.0,80.769,88.462,34.615
1088.631,100.0,100.0,100.0,66.667,100.0,100.0,97.222,100.0,100.0,100.0,88.889,22.222,47.222,69.444,80.556,61.111,55.556,8.333
1088.871,77.419,93.548,87.097,74.194,90.323,64.516,93.548,51.613,100.0,90.323,22.581,0.0,6.452,9.677,93.548,3.226,29.032,0.0
1089.111,100.0,100.0,100.0,100.0,37.037,77.778,100.0,66.667,100.0,66.667,88.889,70.37,74.074,22.222,81.481,59.259,0.0,0.0
1089.351,89.286,100.0,100.0,100.0,92.857,100.0,100.0,75.0,100.0,100.0,57.143,100.0,100.0,50.0,100.0,100.0,60.714,42.857
1089.591,100.0,100.0,100.0,100.0,92.857,73.81,85.714,45.238,100.0,69.048,73.81,100.0,100.0,100.0,97.619,80.952,64.286,73.81
