Место,ID,Тип экзамена,Балл экзамена,ИД,Сумма баллов,Средний балл,Приоритет,Согласие,Статус <?>,Главный приоритет,Наивысший приоритет прохода
112,4497512,ВЭ,95,0,95,4.8378,3,-,,-,-
113,4969505,ВЭ,95,0,95,4.6500,4,-,,-,-
114,4914713,ВЭ,95,0,95,4.4889,2,+,in_another_order,-,-
115,4212309,ВЭ,95,0,95,4.4706,4,+,in_another_order,-,-
116,4885189,ВЭ,90,0,90,4.8421,2,-,,-,-
117,4885270,ВЭ,90,0,90,4.4222,1,-,,-,-
118,4255977,ВЭ,90,0,90,4.3429,1,-,,-,-
119,4717967,ВЭ,90,0,90,4.0278,1,-,,-,-
120,4473970,ВЭ,85,0,85,4.7442,2,-,,-,-
121,4885192,ВЭ,80,0,80,4.7619,3,+,in_another_order,-,-
122,4206348,ВЭ,80,0,80,4.4615,1,-,,-,-
123,4257778,ВЭ,80,0,80,4.4390,2,-,,-,-
124,4464644,ВЭ,80,0,80,4.3939,2,-,,-,-
125,4256438,ВЭ,80,0,80,4.3750,2,-,,-,-
126,4222554,ВЭ,80,0,80,4.2857,1,+,,-,-
127,4852513,ВЭ,80,0,80,4.2222,3,+,,-,-
128,4904417,ВЭ,80,0,80,3.7091,2,-,,-,-
129,5097562,ВЭ,80,0,80,3.6500,3,-,,-,-
130,5001625,ВЭ,80,0,80,3.1538,1,-,,-,-
131,3681322,ВЭ,75,0,75,3.6053,3,+,,-,-
132,3713108,ВЭ,75,0,75,3.3514,3,+,,-,-
133,4217235,ВЭ,70,0,70,3.6500,2,+,,-,-
134,4800007,ВЭ,70,0,70,3.5641,4,-,,-,-
